hotel_id,names,hotel_loc,loc_name,ratings,links
,Ideal Cafe,,manglore,4.4,https://www.zomato.com/mangalore/ideal-cafe-hampankatta/order
,KFC,,manglore,3.7,https://www.zomato.com/mangalore/kfc-ks-rao-nagar/order
,Ideal's,,manglore,4.5,https://www.zomato.com/mangalore/ideals-1-hampankatta/order
,The Roshow Hut,,manglore,4.1,https://www.zomato.com/mangalore/the-roshow-hut-kodailbail/order
,Laziz Pizza,,manglore,4,https://www.zomato.com/mangalore/laziz-pizza-attavar/order
,Shreya's Sweets,,manglore,4.2,https://www.zomato.com/mangalore/shreyas-sweets-kodailbail/order
,Halli Mane,,manglore,3.7,https://www.zomato.com/mangalore/halli-mane-kapikad/order
,Olive Street Food Cafe,,manglore,4.3,https://www.zomato.com/mangalore/olive-street-food-cafe-kodailbail/order
,Hamburg Street Food Cafe,,manglore,4,https://www.zomato.com/mangalore/hamburg-street-food-cafe-kankanady/order
,Pabbas,,manglore,4.5,https://www.zomato.com/mangalore/pabbas-lalbagh/order
,Food Factory,,manglore,3.6,https://www.zomato.com/mangalore/food-factory-1-kavoor/order
,Taco Street,,manglore,4.1,https://www.zomato.com/mangalore/taco-street-kodailbail/order
,Hotel Janatha Deluxe Veg - Pathumudi Soudha,,manglore,4.2,https://www.zomato.com/mangalore/hotel-janatha-deluxe-veg-pathumudi-soudha-lalbagh/order
,The Old Prax,,manglore,3.9,https://www.zomato.com/mangalore/the-old-prax-kadri/order
,Bamboo Restaurant,,manglore,4,https://www.zomato.com/mangalore/bamboo-restaurant-kankanady/order
,Onesta,,manglore,3.3,https://www.zomato.com/mangalore/onesta-kankanady/order
,Grace Ice Cream,,manglore,4.2,https://www.zomato.com/mangalore/grace-ice-cream-kankanady/order
,Suman Sagar Restaurant,,manglore,3.5,https://www.zomato.com/mangalore/suman-sagar-restaurant-bendoor/order
,Just Cake Factory,,manglore,4.5,https://www.zomato.com/mangalore/just-cake-factory-kankanady/order
,Hotel Chicken Hut,,manglore,3.6,https://www.zomato.com/mangalore/hotel-chicken-hut-kankanady/order
,The Leela's Kitchen,,manglore,3.7,https://www.zomato.com/mangalore/the-leelas-kitchen-1-kottara/order
,Dessert Dash,,manglore,3.6,https://www.zomato.com/mangalore/dessert-dash-mallikatte/order
,Mexican Hot N Spicy,,manglore,3.8,https://www.zomato.com/mangalore/mexican-hot-n-spicy-kankanady/order
,Ribbons And Balloons,,manglore,3.7,https://www.zomato.com/mangalore/ribbons-and-balloons-bendoor/order
,Hao Ming,,manglore,4.2,https://www.zomato.com/mangalore/hao-ming-balmatta/order
,Vidya Restaurant,,manglore,3.5,https://www.zomato.com/mangalore/vidya-restaurant-kottara/order
,New Gokul Veg Restaurant,,manglore,4,https://www.zomato.com/mangalore/new-gokul-veg-restaurant-1-kankanady/order
,Burger Lounge,,manglore,3.7,https://www.zomato.com/mangalore/burger-lounge-kodailbail/order
,Aayan's Kitchen,,manglore,4,https://www.zomato.com/mangalore/aayans-kitchen-attavar/order
,Donut Magic,,manglore,3.5,https://www.zomato.com/mangalore/donut-magic-kodailbail/order
,New Biryani Paradise,,manglore,3.9,https://www.zomato.com/mangalore/new-biryani-paradise-kankanady/order
,Ginger House Family Restaurant,,manglore,3.5,https://www.zomato.com/mangalore/ginger-house-family-restaurant-kottara/order
,CKK Kitchens Of Maharaja,,manglore,4,https://www.zomato.com/mangalore/ckk-kitchens-of-maharaja-lalbagh/order
,Momo's Station,,manglore,3.9,https://www.zomato.com/mangalore/momos-station-balmatta/order
,Hotel Sai Palace,,manglore,4,https://www.zomato.com/mangalore/hotel-sai-palace-hampankatta/order
,Grameen Kulfi,,manglore,4,https://www.zomato.com/mangalore/grameen-kulfi-kottara/order
,WarmOven Cake & Desserts,,manglore,4.2,https://www.zomato.com/mangalore/warmoven-cake-desserts-kodailbail/order
,Town Table,,manglore,3.7,https://www.zomato.com/mangalore/town-table-attavar/order
,Kaati Zone Rolls And Wraps,,manglore,4.1,https://www.zomato.com/mangalore/kaati-zone-rolls-and-wraps-kodailbail/order
,Belgian Waffle Waves,,manglore,3.7,https://www.zomato.com/mangalore/belgian-waffle-waves-kodailbail/order
,Crave Desserts & Bakes,,manglore,4.3,https://www.zomato.com/mangalore/crave-desserts-bakes-balmatta/order
,Chilly Limon,,manglore,3.8,https://www.zomato.com/mangalore/chilly-limon-1-bendoor/order
,The Baklava Company,,manglore,3.6,https://www.zomato.com/mangalore/the-baklava-company-attavar/order
,Hotel Thammana,,manglore,3.3,https://www.zomato.com/mangalore/hotel-thammana-kodailbail/order
,Rinku Punjabi Kadai,,manglore,3.7,https://www.zomato.com/mangalore/rinku-punjabi-kadai-marnamikatte/order
,Momos Hut,,manglore,4,https://www.zomato.com/mangalore/momos-hut-kankanady/order
,Burger Shack,,manglore,4.1,https://www.zomato.com/mangalore/burger-shack-bendoor/order
,Keventers - Milkshakes & Desserts,,manglore,4,https://www.zomato.com/mangalore/keventers-milkshakes-desserts-balmatta/order
,Kakunje's Parathas,,manglore,3.9,https://www.zomato.com/mangalore/kakunjes-parathas-ks-rao-nagar/order
,Black Olives,,manglore,3.9,https://www.zomato.com/mangalore/black-olives-bendoor/order
,Hotel Hariprasad,,manglore,3.8,https://www.zomato.com/mangalore/hotel-hariprasad-hampankatta/order
,Danish Bamboo House,,manglore,4,https://www.zomato.com/mangalore/danish-bamboo-house-kankanady/order
,Toddy Palace,,manglore,3.8,https://www.zomato.com/mangalore/toddy-palace-padukodi/order
,Big Bang Burgers,,manglore,3.6,https://www.zomato.com/mangalore/big-bang-burgers-1-marnamikatte/order
,Aladdin Shawarma,,manglore,4,https://www.zomato.com/mangalore/aladdin-shawarma-kankanady/order
,Behrouz Biryani,,manglore,4.2,https://www.zomato.com/mangalore/behrouz-biryani-hampankatta/order
,Tikka Darbar,,manglore,3.4,https://www.zomato.com/mangalore/tikka-darbar-kulashekara/order
,Wine And Dine,,manglore,4.1,https://www.zomato.com/mangalore/wine-and-dine-thokottu/order
,Hotel Hanuman,,manglore,3.8,https://www.zomato.com/mangalore/hotel-hanuman-hampankatta/order
,Costa Hotel,,manglore,3.7,https://www.zomato.com/mangalore/costa-hotel-kankanady/order
,Frozen Scoops,,manglore,4.1,https://www.zomato.com/mangalore/frozen-scoops-1-hampankatta/order
,Hotel Evergreen & Bakery,,manglore,3.3,https://www.zomato.com/mangalore/hotel-evergreen-bakery-bunder/order
,Sizzler's Ranch,,manglore,4.1,https://www.zomato.com/mangalore/sizzlers-ranch-hampankatta/order
,Dilli Nawabs,,manglore,3.7,https://www.zomato.com/mangalore/dilli-nawabs-kankanady/order
,Chandus Biryani Spot,,manglore,4.4,https://www.zomato.com/mangalore/chandus-biryani-spot-kavoor/order
,The Good Bowl,,manglore,4.1,https://www.zomato.com/mangalore/the-good-bowl-hampankatta/order
,Kouzina Kafe - The Food Court,,manglore,3.5,https://www.zomato.com/mangalore/kouzina-kafe-the-food-court-kodailbail/order
,Hotel Srinivas Padmashree Deluxe Restaurant,,manglore,3.5,https://www.zomato.com/mangalore/hotel-srinivas-padmashree-deluxe-restaurant-hampankatta/order
,Hotel Sai Tudar,,manglore,4,https://www.zomato.com/mangalore/hotel-sai-tudar-lalbagh/order
,Baskin Robbins,,manglore,4,https://www.zomato.com/mangalore/baskin-robbins-hampankatta/order
,BT Devrali,,manglore,4,https://www.zomato.com/mangalore/bt-devrali-kankanady/order
,Mangalore Tiffins,,manglore,3.4,https://www.zomato.com/mangalore/mangalore-tiffins-bendoor/order
,Cookie Man,,manglore,3.4,https://www.zomato.com/mangalore/cookie-man-attavar/order
,Basil Cafe,,manglore,4.2,https://www.zomato.com/mangalore/basil-cafe-kapikad/order
,Meisterwurst,,manglore,4.4,https://www.zomato.com/mangalore/meisterwurst-kodailbail/order
,Sri Durga Lunch Home,,manglore,4.1,https://www.zomato.com/mangalore/sri-durga-lunch-home-attavar/order
,Drunken Monkey,,manglore,3.7,https://www.zomato.com/mangalore/drunken-monkey-kankanady/order
,Drood Cafe,,manglore,-,https://www.zomato.com/mangalore/drood-cafe-kankanady/order
,R 9 Cafe,,manglore,New,https://www.zomato.com/mangalore/r-9-cafe-attavar/order
,Sundae Everyday Ice Creams,,manglore,4.2,https://www.zomato.com/mangalore/sundae-everyday-ice-creams-kodailbail/order
,Biryani Express,,manglore,-,https://www.zomato.com/mangalore/biryani-express-kavoor/order
,Sharaabi Bar & Family Restaurant,,manglore,4,https://www.zomato.com/mangalore/sharaabi-bar-family-restaurant-kadri/order
,Taste of Parika,,manglore,4,https://www.zomato.com/mangalore/taste-of-parika-kapikad/order
,Bapama's Cafe,,manglore,New,https://www.zomato.com/mangalore/bapamas-cafe-kadri/order
,Pure Veg Meals By LunchBox,,manglore,4.1,https://www.zomato.com/mangalore/pure-veg-meals-by-lunchbox-hampankatta/order
,TLC Cafe,,manglore,3.7,https://www.zomato.com/mangalore/tlc-cafe-kapikad/order
,Hotel Rajkamal,,manglore,3.9,https://www.zomato.com/mangalore/hotel-rajkamal-hampankatta/order
,Cheesecakes by CakeZone,,manglore,3.3,https://www.zomato.com/mangalore/cheesecakes-by-cakezone-kodailbail/order
,Maroli Kitchen,,manglore,3.3,https://www.zomato.com/mangalore/maroli-kitchen-maroli/order
,Ferns & Martins,,manglore,New,https://www.zomato.com/mangalore/ferns-martins-kavoor/order
,Icy Treats,,manglore,3.7,https://www.zomato.com/mangalore/icy-treats-2-ks-rao-nagar/order
,Raslaffan Ice Cream Parlour,,manglore,4.3,https://www.zomato.com/mangalore/raslaffan-ice-cream-parlour-pumpwell/order
,Halloa,,manglore,2.8,https://www.zomato.com/mangalore/halloa-kodailbail/order
,Gauji Gammath,,manglore,4.2,https://www.zomato.com/mangalore/gauji-gammath-hampankatta/order
,New Kudla,,manglore,4.3,https://www.zomato.com/mangalore/new-kudla-ashok-nagar/order
,Punjabi Dhaba,,manglore,3.3,https://www.zomato.com/mangalore/punjabi-dhaba-kavoor/order
,The Mangalore Cafe,,manglore,3.7,https://www.zomato.com/mangalore/the-mangalore-cafe-marnamikatte/order
,Parika Bakes,,manglore,-,https://www.zomato.com/mangalore/parika-bakes-marnamikatte/order
,Kudla Treat,,manglore,3.3,https://www.zomato.com/mangalore/kudla-treat-attavar/order
,Kobe Sizzlers,,manglore,3.9,https://www.zomato.com/mangalore/kobe-sizzlers-hampankatta/order
,The Sailor's Bistro,,manglore,3.5,https://www.zomato.com/mangalore/the-sailors-bistro-kodailbail/order
,Mandarin Eats,,manglore,3.9,https://www.zomato.com/mangalore/mandarin-eats-bunder/order
,The Juice Dude,,manglore,-,https://www.zomato.com/mangalore/the-juice-dude-kankanady/order
,Vegeenation,,manglore,3.8,https://www.zomato.com/mangalore/vegeenation-thokottu/order
,Westburg,,manglore,4.1,https://www.zomato.com/mangalore/westburg-thokottu/order
,Nomou - Vegan Gelato,,manglore,-,https://www.zomato.com/mangalore/nomou-vegan-gelato-attavar/order
,Urban House,,manglore,4,https://www.zomato.com/mangalore/urban-house-bendoor/order
,Pavman,,manglore,4,https://www.zomato.com/mangalore/pavman-mallikatte/order
,Chit Chaat,,manglore,-,https://www.zomato.com/mangalore/chit-chaat-lalbagh/order
,The Asian Patio,,manglore,3.7,https://www.zomato.com/mangalore/the-asian-patio-hampankatta/order
,Suvarna's Kitchen,,manglore,3.4,https://www.zomato.com/mangalore/suvarnas-kitchen-attavar/order
,Kling Krishna Cafe,,manglore,-,https://www.zomato.com/mangalore/kling-krishna-cafe-hampankatta/order
,The Waffle Man - House of Cookie Man,,manglore,New,https://www.zomato.com/mangalore/the-waffle-man-house-of-cookie-man-attavar/order
,Frankie Delight,,manglore,New,https://www.zomato.com/mangalore/frankie-delight-kottara/order
,Amma's Kitchen,,manglore,New,https://www.zomato.com/mangalore/ammas-kitchen-kankanady/order
,The Hungry Birds,,manglore,New,https://www.zomato.com/mangalore/the-hungry-birds-hampankatta/order
,Veg Daawat By Behrouz,,manglore,3.9,https://www.zomato.com/mangalore/veg-daawat-by-behrouz-hampankatta/order
,Rathna's Wine Gate,,manglore,4.3,https://www.zomato.com/mangalore/rathnas-wine-gate-kodailbail/order
,99 Pizza,,manglore,3.6,https://www.zomato.com/mangalore/99-pizza-kottara/order
,Andhra House,,manglore,4,https://www.zomato.com/mangalore/andhra-house-kadri/order
,Machali,,manglore,4.3,https://www.zomato.com/mangalore/machali-kodailbail/order
,Rest Inn Pizza,,manglore,3.1,https://www.zomato.com/mangalore/rest-inn-pizza-kottara/order
,Fish Market Restaurant,,manglore,3.9,https://www.zomato.com/mangalore/fish-market-restaurant-1-balmatta/order
,Trishna Hotels,,manglore,3.8,https://www.zomato.com/mangalore/trishna-hotels-1-kavoor/order
,Abhogi India,,manglore,3.6,https://www.zomato.com/mangalore/abhogi-india-thokottu/order
,Oh My Bowl,,manglore,3.9,https://www.zomato.com/mangalore/oh-my-bowl-kodailbail/order
,Jumbo's Kitchen,,manglore,-,https://www.zomato.com/mangalore/jumbos-kitchen-kodailbail/order
,Wholesome Kitchen,,manglore,4,https://www.zomato.com/mangalore/wholesome-kitchen-mallikatte/order
,G Food 'N' Fun,,manglore,4.3,https://www.zomato.com/mangalore/g-food-n-fun-bendoor/order
,Taj Mahal Restaurant,,manglore,-,https://www.zomato.com/mangalore/taj-mahal-restaurant-hampankatta/order
,Mangala,,manglore,4,https://www.zomato.com/mangalore/mangala-bendoor/order
,Gajalee Sea Food,,manglore,4.1,https://www.zomato.com/mangalore/gajalee-sea-food-kadri/order
,Tai Chien,,manglore,3.7,https://www.zomato.com/mangalore/tai-chien-bendoor/order
,Frizzle,,manglore,4,https://www.zomato.com/mangalore/frizzle-balmatta/order
,Kottara's 70 Surprise,,manglore,-,https://www.zomato.com/mangalore/kottaras-70-surprise-kottara/order
,Cafe Margarita,,manglore,-,https://www.zomato.com/mangalore/cafe-margarita-lalbagh/order
,Illadha Vanas,,manglore,3.3,https://www.zomato.com/mangalore/illadha-vanas-lalbagh/order
,Health Bricks-Joos Botal,,manglore,3.9,https://www.zomato.com/mangalore/health-bricks-joos-botal-kodailbail/order
,The Grand Kitchen By AJ Grand Hotel,,manglore,-,https://www.zomato.com/mangalore/the-grand-kitchen-by-aj-grand-hotel-balmatta/order
